hz,mag_db,phase,v1,v2
15.000000000000004,-1.9677234113308644,16.02983142204744,0.9983663560318075,0.7959829527400012
16.102283647611824,-1.8731613336329824,14.096905320968428,0.9989741221721629,0.8051859192976516
17.28556924454313,-1.7943665989620463,12.221103351334786,0.9989359657693472,0.8124924234358343
18.555809265737906,-1.724864206544809,10.375220614044583,0.9992619585453514,0.8192871513642603
19.919393607193022,-1.662136625412427,8.557050448212097,0.9993363727275766,0.8252867325865866
21.38318173009651,-1.6045140045655226,6.757916681025608,0.9993217650641341,0.8307677826313047
22.95453716709631,-1.5545841375198413,4.973125935951397,0.9991469196814512,0.8354109183128635
24.641364564282178,-1.510584004835834,3.1955884814965123,0.9991583159086149,0.8396631755320406
26.452149445218815,-1.4718086746660135,1.4203574075213272,0.9991696700639259,0.8434295423882853
28.39600089706205,-1.4372432605424301,-0.36253596555595097,0.9991216115573,0.8467519200042534
30.482697393488852,-1.4064377544522055,-2.1626728694247146,0.9990956165847011,0.8497382458361696
32.72273598495166,-1.3786885775693065,-3.9857116386632305,0.9989305596576342,0.852316449994115
35.12738510370705,-1.3538983705469465,-5.842756287932201,0.9989682358230632,0.8547847406335121
37.708741249252334,-1.3311431236762545,-7.745730641704977,0.9989475613160733,0.8570093000748035
40.47978983932408,-1.3106287190614623,-9.703816955031874,0.9988405668351389,0.858943774811776
43.45447053256741,-1.2924785987784173,-11.729973315139933,0.998853441685075,0.8607516035096174
46.647747351479325,-1.275510413024386,-13.781354504803561,0.9988054188835475,0.8623932909687012
50.07568395837685,-1.2600058336961426,-15.895269829353543,0.9986754734287381,0.8638216656160327
53.75552446306327,-1.2406185047642817,-18.31828860034684,0.9977343912725773,0.8649360868108507
57.70578016869205,-1.23831314727019,-20.800687344817693,0.9986565494041204,0.8659653147246357
61.946322692200795,-1.2313462584478028,-23.39261490859381,0.9985078844482455,0.8665311625093102
66.49848392775398,-1.2290802212956238,-26.155310864501796,0.9982651027669538,0.8665465116182927
71.3851633560567,-1.2329897391525169,-29.111557057545433,0.9981578878435449,0.8660635406026461
76.6309432393553,-1.2449795151086644,-32.282760123079946,0.99814097346794,0.8648542180542297
82.26221228160935,-1.2677876802637609,-35.69998808633307,0.9979520814746393,0.8624229485681151
88.30729837590204,-1.3055812633217225,-39.38798336868843,0.9975943580833364,0.8583707718168025
