hz,z,phase,r,x,v1,v2,hum
10.0,8981.084572156456,-1.9265433221114843,8976.008004646974,-301.92779391795193,0.499468277170215,0.2388786252436391,0.0
11.88566290856077,8959.582476323152,-1.6818452721730996,8955.722777615265,-262.9594655836423,0.49975418085179196,0.23870841165081816,0.014101944846583878
14.126898277593725,8943.838357800043,-1.466356211680365,8940.909461855716,-228.87237787535636,0.49972965700043426,0.23847124504831357,0.0
16.790755087100685,8933.308875816785,-1.2880508899463325,8931.05159888489,-200.810380216347,0.49963594637172226,0.2382752369732069,0.009848069367693344
19.956925494548067,8924.728510019559,-1.135500576544881,8922.975920312194,-176.86068835304226,0.4996825191722295,0.2381743102291861,0.007539841140335438
23.720128911946073,8918.954285660966,-1.0186968990770362,8917.544616479528,-158.56721857648094,0.49967802846243725,0.23808921913367392,0.0
28.19294563949975,8914.938510048929,-0.9288921709072259,8913.766950996473,-144.52467359062115,0.4996694275470959,0.23802740508466222,0.0004898606870764613
33.50918482704723,8911.728992263617,-0.8592549887022639,8910.726865420218,-133.64266321166713,0.4995427961038057,0.2379210865702787,0.001991332391552145
39.827887519494254,8908.490435440795,-0.8236553886669394,8907.569959446664,-128.05957950681082,0.4995418022879981,0.2378747810038887,0.001784129928186056
47.33808454167833,8906.689650006243,-0.7917710463089569,8905.83923017199,-123.07773095855599,0.49950996781475115,0.23783396761040115,0.0033013801653682348
56.264451559934,8906.219400227885,-0.806825161511097,8905.336381693023,-125.41105968036848,0.4994858858810388,0.2378161406094382,0.00305046254261126
66.87403049764221,8904.280323847499,-0.8367915494128536,8903.330702617419,-130.0403225454687,0.49948489129003915,0.23778898336153606,0.003036802748869804
79.48421838317877,8903.086817733334,-0.8854776870226398,8902.023625126814,-137.58728786157602,0.49949840874739293,0.23777947501851887,0.0015980829912285346
94.47226262528919,8901.741993616703,-0.9647564939725382,8900.480093727598,-149.88202720078962,0.4994902079754744,0.23775807530282586,0.0
112.28654677732122,8900.582071828352,-1.0651389457578107,8899.04411845083,-165.45390662646383,0.49948229323349397,0.23773991315041473,0.0
133.460004416158,8899.645802496045,-1.20302074216491,8897.684124424153,-186.8492222511607,0.4994361179980298,0.237707654126835,0.0
158.62606242654863,8897.49226070344,-1.3715361405015505,8894.943165053139,-212.96624087418738,0.4994666808804899,0.23769596773598747,0.004341047712871994
188.5375906514275,8896.620258427216,-1.585229907188001,8893.21534085024,-246.1156718363901,0.49950615436374596,0.23770824743179625,0.0
224.08942480750846,8894.123669496379,-1.8421123205816872,8889.527217727646,-285.9050429340257,0.49944636765903916,0.23765277913749844,0.0
266.34513646353224,8891.01256463777,-2.145396897457399,8884.780377054485,-332.83941481475455,0.4995232925996032,0.2376567079574582,0.00018072923322683536
316.568850934016,8887.679915543169,-2.525457914638859,8879.047683589517,-391.6203693541241,0.49945110371823237,0.23759167696738867,0.0017871749257364154
376.2630649552139,8884.289146605486,-2.983409308298442,8872.247802238766,-462.3987198959777,0.49939749817436424,0.23754140402318644,0.004590454650348061
447.213595499958,8876.400687409192,-3.497869994335571,8859.864549857237,-541.5619277805715,0.4992172120504766,0.23737508357366013,0.007022298099472197
531.5430044237953,8867.338169759449,-4.127559709565309,8844.338748359762,-638.2462856413075,0.49911064824484097,0.23724048348862337,0.008800212588777698
