hz,v1,v2
15.000000000000004,0.99852424125562,0.361065115282353
16.575145740530765,0.9990151806126938,0.36530956976170625
18.315697087989015,0.998956748719819,0.3683148214827614
20.23902323818885,0.9989918856843067,0.370650676515254
22.36431732126461,0.9988518901901341,0.3723001994308999
24.71278793249583,0.9985865971476859,0.373277525115787
27.307870775729878,0.9985335490285459,0.3737456407724596
30.17546253142025,0.9985671873959846,0.37364980111280666
33.34417928308106,0.998573269816858,0.3729635668926209
36.845642081030356,0.9985486674955915,0.3716176581928705
40.71479249310075,0.9985615098947528,0.3696308732931401
44.99024129124084,0.9985470942833286,0.3668415900338563
49.714653753597474,0.9985273264690893,0.36327955366281606
54.935175427060216,0.998348545437483,0.35858408102543154
60.703902599009815,0.9984198979903374,0.35294562986218814
67.07840217317144,0.9984477332921352,0.34599387375066604
74.12228613748346,0.9983244567441975,0.33758095855258036
81.90584635667412,0.9984933177065015,0.32766206572280476
90.5067560242263,0.9984644899501447,0.3159731163507434
100.0108447736141,0.998481162360275,0.3024561938763468
110.51295518375018,0.9984794138464008,0.2870766319866627
122.1178892258269,0.9983911641751309,0.26990881628030444
134.94145409627146,0.9982818974210893,0.25114646405304925
149.11161787232288,0.9982882901302219,0.23111581442519144
164.7697865226722,0.9981494794596274,0.2102287098118192
182.07221501662886,0.9980200356608622,0.18899443175720115
201.19156661345863,0.9979104329133571,0.16793656900561282
222.318635892252,0.9978835449472898,0.14759853818731658
245.66425271667129,0.9976753863183958,0.1283393472317073
271.46138613449375,0.9978117907673149,0.11062543764124758
299.9674692070487,0.9975473351263109,0.09452702184660644
331.4669679683337,0.9974427743197336,0.08015034157991247
366.2742201497981,0.9974907047262694,0.06758485750410209
404.7365719988101,0.9974875742538474,0.05669259372302791
447.23784449354036,0.9972711670904577,0.047315563816164155
494.20216354408427,0.9968784474051613,0.039285134871662714
546.0981924019216,0.997298382690637,0.03256584784839533
603.4438085134839,0.9973622653054869,0.026940752871624955
666.8112714887955,0.9959672667986855,0.02215768415278211
736.8329337570271,0.9953948925409252,0.01822802767660863
814.2075508963715,0.9974747184584398,0.015044804040159388
899.707254609865,0.9974496284376754,0.012355700620642883
994.1852579314218,0.9973434493854125,0.010152199681360434
1098.5843695533654,0.9973671153813134,0.008322430023927907
1213.9464022410768,0.99733213314854,0.006766348457580736
1341.4225692225884,0.9973304120304342,0.005535436016206087
1482.2849723001093,0.9974341281426277,0.004502999731932523
1637.9392963248608,0.9973775852849197,0.003657640345002176
1809.9388367151312,0.9975425930247559,0.002996426132307439
2000.0000000000002,0.9975578801674393,0.0024424806624158816
