hz,v1,v2,mag_db,phase
15.000000000000004,0.998152586897687,0.7263006055958402,-2.761610607605622,10.423165976165997
17.0050090612775,0.9987017906709242,0.7364002788141241,-2.646437686057558,6.667562743974853
19.27802221160867,0.9986813268234458,0.7431608526004755,-2.566882105588096,3.0202410472169468
21.85486282612762,0.9985810458963311,0.7476594266415364,-2.5135901016497764,-0.7274248574401044
24.776142692751808,0.9985972088774766,0.749850672847476,-2.488311246884758,-5.29419191745002
28.087902066249917,0.9986324563321256,0.7510278845329547,-2.4749922970872804,-8.062920329078336
31.842335276590322,0.9985540007048701,0.7497545409613577,-2.4890490244918335,-12.006016693156159
36.09861332737699,0.998572852967784,0.7466685050428266,-2.525038446581503,-15.986814257177182
40.923816448773245,0.998470995447845,0.7412364913701893,-2.5875732383687526,-20.30791701409807
46.39399130222974,0.9984381046384465,0.7331192456718405,-2.68293053050938,-25.466402851759568
52.59534949888308,0.9983762051430363,0.7226266105886862,-2.80760542680364,-30.12652099572866
59.625626320637615,0.9984664556109025,0.7084263493933948,-2.980775457069142,-35.81773221251881
67.5956210577859,0.9984703742700978,0.6907461511955069,-3.2003341933777123,-41.35756754835587
76.6309432393553,0.9984535047449348,0.667732685799359,-3.494504202300644,-48.36443101473814
86.87399227729861,0.9983645764386335,0.6408696300912169,-3.850389433707551,-54.40674458213638
98.486201724321,0.998460306528332,0.6073407955785615,-4.317967005853603,-62.03595141081391
111.65058351552554,0.998450540181635,0.5683582661100871,-4.894087511885555,-69.76103239827546
126.57461229189539,0.9984412415931446,0.5242592992202176,-5.595527380440707,-77.51834365492455
143.49349526342456,0.9982977699606487,0.47360041505833167,-6.476960532858522,-87.43739266525664
162.6738791459277,0.998234142789506,0.4220044834463188,-7.478307100724184,-95.56465040383907
184.41805259397734,0.998093148349662,0.3686774303760888,-8.650490448318276,-104.04457974385684
209.06871036158242,0.9982628580804945,0.31284399313471595,-10.078341844709463,-115.68696063513872
237.0143542752208,0.9981368005537385,0.2648237632525898,-11.524662304481135,-122.62557073494814
268.6954161401975,0.9978596355673166,0.2177479491972439,-13.222307638419133,-132.51490442062934
304.61119907918595,0.9978541102255093,0.17610672273598676,-15.065822308311148,-142.0734360371903
345.32774670054425,0.9980863479062496,0.14121988256653753,-16.98544538434611,-150.22403198239044
391.48676411688615,0.997592648063255,0.1109877101797776,-19.07356696883721,-158.99031600231456
443.8157314118577,0.9980387534933691,0.09012115427767917,-20.886413191136974,-161.69408225438374
503.13936894640915,0.9979950073672328,0.06751865967517741,-23.394091124340694,-173.23417769335578
570.3926352012757,0.9977018179549245,0.05037095267522701,-25.93641197475059,177.36197359464924
646.6354620055765,0.997764322529584,0.039575679975690115,-28.031991702746268,173.8680342301893
733.0694593832122,0.9973475244880626,0.028026060357882288,-31.025689221281716,163.10509421051816
831.0568532904886,0.9977686980985586,0.02027782786512664,-33.840168861747756,155.65678005479373
942.1419547094353,0.9977683226590567,0.014405364013628909,-36.81010949359117,148.2447404392089
1068.0754984562423,0.9982757411472074,0.0014446107665049268,-56.789993405577654,108.38823918741411
1210.8422352917926,0.997954841762122,0.005545307592048811,-45.10370497162295,128.25813599057304
1372.6922121942962,0.9979577111142358,0.003943203567861825,-48.065258803206554,124.14880881998374
1556.176233780605,0.9983916701518969,0.0012531934268983397,-58.02565681226063,-83.16776978868828
1764.1860637589243,0.998247852844299,0.00019405689274635868,-74.22618623176952,77.33287199020528
2000.0000000000002,0.9979369767412802,0.004601778474338448,-46.723548132884744,-147.18412727964903
