hz,v_rms_per_rthz
270.00,1.1187e-06
271.00,1.3356e-06
272.00,1.3987e-06
273.00,1.1879e-06
274.00,1.3273e-06
275.00,1.1367e-06
276.00,1.0552e-06
277.00,1.3018e-06
278.00,1.2294e-06
279.00,1.3205e-06
280.00,1.1585e-06
281.00,1.1419e-06
282.00,1.4992e-06
283.00,1.3003e-06
284.00,1.4306e-06
285.00,1.1712e-06
286.00,1.2176e-06
287.00,1.1331e-06
288.00,1.1345e-06
289.00,9.3853e-07
290.00,1.2821e-06
291.00,1.4295e-06
292.00,1.3757e-06
293.00,9.7381e-07
294.00,1.1484e-06
295.00,1.2762e-06
296.00,1.2195e-06
297.00,1.0657e-06
298.00,9.8365e-07
299.00,1.0873e-06
300.00,1.3109e-06
301.00,1.1196e-06
302.00,1.1341e-06
303.00,1.1896e-06
304.00,1.1774e-06
305.00,1.2233e-06
306.00,1.1423e-06
307.00,1.1881e-06
308.00,1.2650e-06
309.00,1.2094e-06
310.00,8.6975e-07
311.00,1.1059e-06
312.00,1.1273e-06
313.00,1.2106e-06
314.00,1.2880e-06
315.00,1.5531e-06
316.00,1.4697e-06
317.00,1.3764e-06
318.00,1.2958e-06
319.00,1.1861e-06
320.00,1.1311e-06
321.00,1.2303e-06
322.00,1.0835e-06
323.00,1.2542e-06
324.00,1.2735e-06
325.00,1.0610e-06
326.00,1.2242e-06
327.00,1.4185e-06
328.00,1.3567e-06
329.00,1.4219e-06
330.00,1.2482e-06
331.00,9.5982e-07
332.00,1.1331e-06
333.00,1.0954e-06
334.00,1.4457e-06
335.00,1.2921e-06
336.00,1.4072e-06
337.00,1.3404e-06
338.00,1.1753e-06
339.00,1.0277e-06
340.00,9.4548e-07
341.00,1.1007e-06
342.00,1.2066e-06
343.00,1.3980e-06
344.00,1.2600e-06
345.00,1.1878e-06
346.00,1.0029e-06
347.00,1.1654e-06
348.00,1.1657e-06
349.00,1.0531e-06
350.00,1.1494e-06
351.00,1.3914e-06
352.00,1.6419e-06
353.00,1.2083e-06
354.00,8.5275e-07
355.00,1.0117e-06
356.00,1.3132e-06
357.00,1.2238e-06
358.00,1.1179e-06
359.00,1.2136e-06
360.00,1.2754e-06
361.00,1.2276e-06
362.00,1.0961e-06
363.00,1.2721e-06
364.00,9.6301e-07
365.00,1.2460e-06
366.00,1.2474e-06
367.00,9.3747e-07
368.00,1.4000e-06
369.00,1.3747e-06
370.00,1.4399e-06
371.00,1.1083e-06
372.00,1.1676e-06
373.00,1.1170e-06
374.00,1.1985e-06
375.00,1.1981e-06
376.00,1.1520e-06
377.00,1.2637e-06
378.00,1.2620e-06
379.00,1.0897e-06
380.00,1.1120e-06
