amp,vin,vout,gain,thd_in,thd,h2,h3,peak,rng
0.5,0.4990304930874189,0.4284433644527405,-1.3246732559557781,0.0011230208355174974,0.000963038111286714,0.0005421305035476525,0.0002703635083949243,0.43243538416958643,5.0
1.0,0.9974845138611119,0.8562724803436074,-1.3258835081405431,0.0006804611937455428,0.0007325250203472872,0.0003467903924347513,0.00029946085953989833,0.9192021682100027,5.0
1.5,1.4947916946998132,1.2823618872627969,-1.3314014837650479,0.000980342172013073,0.0008662095886999947,0.0002397024481636838,0.0006613663584993314,1.375647582314611,5.0
2.0,1.9916136789611287,1.7103814972883493,-1.322242214558147,0.0014368279447053817,0.0013730087945386096,0.00018484164718409092,0.0013266284037148591,1.8308245395679548,5.0
2.5,2.493038523220754,2.140027989240091,-1.3261907185073463,0.0009262649029247456,0.0006085830202447058,8.135079686707296e-05,0.0004482585636443301,24.474421058021946,50.0
3.0,2.9913395096958646,2.5669184677370476,-1.32907265324284,0.0005523674477001916,0.0006004879072303025,0.0002949629293379687,0.0003806895880866112,2.784934466550965,50.0
3.5,3.49018717559036,2.9951166745333766,-1.328699468860414,0.0004733360772452827,0.0006422988284487617,0.00043451209107184263,0.0004206907698467332,3.2474149007036517,50.0
4.0,3.9866562659372278,3.428038022008385,-1.3112632332817222,0.0005380763349153401,0.002170365247158122,0.0012902858513064233,0.0012812743490928462,3.751242762425318,50.0
4.5,4.486101066804026,3.8682896161255393,-1.287001431434668,0.0004975764647137295,0.007435488662972804,0.00446964638724941,0.00440605707846549,4.29257543779569,50.0
5.0,4.983924093613673,4.312975393169366,-1.2558887783702835,0.00039935171091383994,0.01157525681758064,0.007982481926950275,0.006973373523729129,4.40235095171415,50.0
