hz,v1,v2
15.000000000000004,0.9984289286057803,0.7268414095620863
16.575145740530765,0.9982998565539406,0.7342406087343222
18.315697087989015,0.9983399691771158,0.7401874692052454
20.23902323818885,0.9983500793350935,0.7447599910001093
22.36431732126461,0.9983806450149021,0.7479868735111915
24.71278793249583,0.9982715261569071,0.749802024149628
27.307870775729878,0.9982777291682609,0.7504983453946168
30.17546253142025,0.9982470101314043,0.7501724611517318
33.34417928308106,0.9982370075053575,0.7482513660181818
36.845642081030356,0.9982502635086721,0.7447705444749751
40.71479249310075,0.9981535087066826,0.7408667240664316
44.99024129124084,0.9981511085701317,0.7349361921141453
49.714653753597474,0.9978673265993853,0.7270490719563169
54.935175427060216,0.9980509114983724,0.717562519078464
60.703902599009815,0.998092306171621,0.7050873189544004
67.07840217317144,0.9983028913970214,0.6881737222654358
74.12228613748346,0.9982555194358247,0.6745039125229122
81.90584635667412,0.9981881475616918,0.6536814560230926
90.5067560242263,0.9981574143137265,0.6279410125815987
100.0108447736141,0.9982018745367961,0.5996132551318928
110.51295518375018,0.998082298109643,0.56588261455464
122.1178892258269,0.9980653100024783,0.5346109221147793
134.94145409627146,0.997945346072937,0.4807519533234891
149.11161787232288,0.9980761829132183,0.4563364002295592
164.7697865226722,0.9976997412313133,0.4107203308105804
182.07221501662886,0.9975540396563337,0.3734453562221219
201.19156661345863,0.9974731363156287,0.33033770046178573
222.318635892252,0.997407225678285,0.28430657204180304
245.66425271667129,0.9971241464217114,0.2420312283999597
271.46138613449375,0.997198265800989,0.20519117598355288
299.9674692070487,0.9969379742764239,0.17963209152916876
331.4669679683337,0.997042161392813,0.15051004942405685
366.2742201497981,0.9970388013542208,0.10868037865269785
404.7365719988101,0.9969890180422567,0.10739797929637494
447.23784449354036,0.9967909230767431,0.08565731502255514
494.20216354408427,0.996710512747524,0.0614382070880892
546.0981924019216,0.997432783748918,0.03215408871947692
603.4438085134839,0.9970676999211133,0.03890086841765346
666.8112714887955,0.9954841827730939,0.038204128577782825
736.8329337570271,0.9950864402569167,0.029446431821190135
814.2075508963715,0.997414703406466,0.019756421794214774
899.707254609865,0.9976541965268311,0.012944727996107974
994.1852579314218,0.997730604731739,0.00942262279122926
1098.5843695533654,0.9974198947390568,0.010586757762308854
1213.9464022410768,0.998148575815201,0.004941726592509763
1341.4225692225884,0.9981435856523713,0.0035688674911993658
1482.2849723001093,0.9985305234820239,0.0006769334074845992
1637.9392963248608,0.9985794320631999,0.00022121019355876939
1809.9388367151312,0.9986154538188661,0.0002281089742531808
2000.0000000000002,0.9981327123705767,0.0019288235943599752
