hz,v1,v2
15.000000000000004,0.00012418595601216274,0.36507996540877774
16.575145740530765,0.00010739931916559287,0.3692825267449488
18.315697087989015,9.382555574597436e-05,0.3722442156371004
20.23902323818885,0.00010137194232062758,0.3744674047965482
22.36431732126461,0.00010826552349241923,0.376005647485691
24.71278793249583,0.00010646813758202109,0.37693178885305745
27.307870775729878,0.00011509440582138285,0.3771828803794281
30.17546253142025,0.00011177949295598945,0.37691008621787336
33.34417928308106,0.00013534499701884923,0.37599784271201364
36.845642081030356,0.0001588549070043181,0.37446553150885176
40.71479249310075,0.00016132525038344795,0.3721556229744021
44.99024129124084,0.0002146922167364044,0.3690758241734014
49.714653753597474,0.0001238245228582104,0.3651438575259738
54.935175427060216,0.0002691750615031201,0.36031691999926996
60.703902599009815,0.0002732179704134684,0.3542968985817833
67.07840217317144,0.00028513425382806733,0.34705130576879173
74.12228613748346,0.0002909153874245161,0.33837355311701983
81.90584635667412,0.00029478220847804787,0.32816241755800807
90.5067560242263,0.00031191305927565804,0.31627125915526266
100.0108447736141,0.00035933432255509835,0.3025656886628825
110.51295518375018,0.00044808722096148387,0.28705520934836637
122.1178892258269,0.0005067280990933298,0.2697973410990719
134.94145409627146,0.0005370184975159222,0.2509533458501345
149.11161787232288,0.0006088477781613867,0.23090798676553528
164.7697865226722,0.0006853461441308302,0.20998675640080866
182.07221501662886,0.0007408263707604344,0.18874272671539624
201.19156661345863,0.0006876780735211181,0.1677189664722062
222.318635892252,0.0006850432539757964,0.14737040981532024
245.66425271667129,0.0007558810263025372,0.1281773547165917
271.46138613449375,0.0008824606664225443,0.1104600064618563
299.9674692070487,0.0008849351101213518,0.0944253999632127
331.4669679683337,0.0009324239299145035,0.08006497432173088
366.2742201497981,0.0009368548854674539,0.06754687950986617
404.7365719988101,0.000980410056420158,0.056678589193645434
447.23784449354036,0.001040714971225727,0.047326694333482154
494.20216354408427,0.001179709621589059,0.03931231010580021
546.0981924019216,0.0012042444444877128,0.03261479625307948
603.4438085134839,0.0011697701864390063,0.026992119056246048
666.8112714887955,0.0011763905354554047,0.022266907206068637
736.8329337570271,0.0011552890857120873,0.01835052851296431
814.2075508963715,0.0011590535403281281,0.015140606333121252
899.707254609865,0.0011159929739165307,0.012458231481290175
994.1852579314218,0.001138454508044865,0.010229096748084905
1098.5843695533654,0.001144764315454686,0.008408826556138262
1213.9464022410768,0.0011344558675515563,0.006863605629053521
1341.4225692225884,0.0011074963984251834,0.005638774248842447
1482.2849723001093,0.001113647120508896,0.004606279596777659
1637.9392963248608,0.0010486553054596278,0.0037965057671253723
1809.9388367151312,0.0009807182213255354,0.003122933250560645
2000.0000000000002,0.0009229017228591124,0.002573611665022998
