hz,v1,v2,mag_db,phase
15.000000000000004,0.9986141069659566,0.796718544983619,-1.9618554122822764,15.062608955629475
17.0050090612775,0.9985443349477527,0.809799318930905,-1.8197988990174416,11.441522101144457
19.27802221160867,0.998606675884503,0.8227536617115311,-1.682492825022452,8.089684550415361
21.85486282612762,0.998553315779222,0.8306447371084709,-1.5991188071397213,3.9508548053251844
24.776142692751808,0.9985164749153156,0.8380854388685265,-1.5213387938814131,1.3754667066061634
28.087902066249917,0.9984773769442513,0.8396572753524864,-1.5047234782965035,-2.5703935263766264
31.842335276590322,0.9983963234041301,0.8486846780655978,-1.4111322288889037,-5.662105917519226
36.09861332737699,0.9983076684709947,0.8543349872601625,-1.3527242984018437,-8.48638729760749
40.923816448773245,0.9983610930672789,0.8583994862996497,-1.3119639760971182,-11.952571323739486
46.39399130222974,0.9983106252235123,0.8611425245865808,-1.2838131502002534,-16.30428752851576
52.59534949888308,0.9982473745522721,0.8630118875612895,-1.2644279740149336,-20.559025066805365
59.625626320637615,0.998229870526307,0.8633872448658865,-1.2604986591212095,-25.772871654013997
67.5956210577859,0.9982848553354616,0.856659053502422,-1.3289294716534403,-31.331490825532914
76.6309432393553,0.9981818843486631,0.8598799449005989,-1.2954372757504953,-37.06744661532017
86.87399227729861,0.9981914521770684,0.8521519079340035,-1.3739365169144797,-44.187101909464666
98.486201724321,0.9980555458564567,0.8389620223691369,-1.5082482065200018,-53.326254592902956
111.65058351552554,0.9979885146584035,0.8213442460798823,-1.6920064840111015,-60.3207589746079
126.57461229189539,0.9980401539811652,0.7863868753648477,-2.070235158729781,-70.24672825399725
143.49349526342456,0.9978740845020845,0.7338520342559182,-2.669344827840934,-81.06274086227431
162.6738791459277,0.997788918319873,0.6628155757142306,-3.5529194152205807,-93.22109811528959
184.41805259397734,0.9975911212494172,0.5671050189605892,-4.905781686258438,-107.35121662759181
209.06871036158242,0.9973832172410689,0.4670802978064165,-6.58941015445349,-121.99541073241318
237.0143542752208,0.9972231403878925,0.3953178111854431,-8.036919311975772,-127.92622707163017
268.6954161401975,0.9969688282516919,0.31891080885722933,-9.900246811849994,-137.77731871358571
304.61119907918595,0.9969514449931868,0.25105625379122265,-11.978059261745175,-147.46493894468065
345.32774670054425,0.9966628603736921,0.18991389878609244,-14.399830508446431,-160.27339581683086
391.48676411688615,0.9964678455857675,0.15152204294602536,-16.359749441216213,-162.84663305288444
443.8157314118577,0.9964744367378808,0.11478964204297104,-18.771269206451727,-171.62188789701548
503.13936894640915,0.9966197712514855,0.08911703106147152,-20.971375781229227,-175.98320703193244
570.3926352012757,0.9964787274336641,0.06458345738217608,-23.766934825982297,173.02941432548783
646.6354620055765,0.997053647302952,0.03979433137675098,-27.97794628843185,154.26845374468377
733.0694593832122,0.9963020467577125,0.03607609275589786,-28.82343055272422,161.33642638951366
831.0568532904886,0.9970014201344229,0.02629938288432393,-31.57500438090278,154.81898306592245
942.1419547094353,0.996510895925859,0.018926369579568,-34.42829470530554,148.49568934517328
1068.0754984562423,0.9935184241457561,0.01116254574140178,-38.98825347384951,135.0468303422344
1210.8422352917926,0.9970701233488997,0.00561064094815616,-44.99426452108244,-99.2285398084683
1372.6922121942962,0.9976146570633799,0.0042026416960637344,-47.508809124184125,119.35258309029108
1556.176233780605,0.9984537084534999,0.001290339772377702,-57.772477011145824,106.4595633549476
1764.1860637589243,0.9972123536983587,0.00021545948034675156,-73.3084408388549,95.09167411108142
2000.0000000000002,0.9889283032071069,0.0018400122152589442,-54.60688200898705,-100.65256042960559
