hz,z,phase,r,x,v1,v2,hum
10.0,9015.4703777495,-1.9359948505478894,9010.32425424393,-304.5701322557329,0.49938973168316225,0.23931768608179374,0.0
11.88566290856077,8992.796505063585,-1.6899620830588764,8988.885017614723,-265.2076951850703,0.4996498759033102,0.23912020907103174,0.01396658246974693
14.126898277593725,8977.81000658273,-1.4727247208411096,8974.84439415968,-230.7392790956217,0.49964534538607214,0.23890383139043936,0.0
16.790755087100685,8965.774775241536,-1.297358935734546,8963.476435093244,-202.99634943892315,0.49976209695330864,0.2387879569053577,0.009249761006323617
19.956925494548067,8957.919821352249,-1.1438415790599852,8956.13477604033,-178.82225581992085,0.49978306926746413,0.23868527566952677,0.007554664205511677
23.720128911946073,8951.079326423522,-1.0208641564453673,8949.658553842291,-159.47688724102613,0.49975508956193515,0.23857424571928526,0.0
28.19294563949975,8946.93802872956,-0.932340168741114,8945.753519696695,-145.5817803209116,0.49972045909199686,0.238498449938147,0.0011539076628599542
33.50918482704723,8943.688150891037,-0.8656470112268829,8942.667411690014,-135.11959253256762,0.4997390004056157,0.2384609157787457,0.0023574867063700976
39.827887519494254,8940.943142144137,-0.8218969198763819,8940.023253344105,-128.25170845241527,0.49976824020304733,0.23843592511524045,0.0006720461159842189
47.33808454167833,8940.140080920744,-0.8223494814573294,8939.219261535343,-128.3107972116489,0.4997211506555638,0.2384022675089842,0.0013342212053698021
56.264451559934,8937.340366397482,-0.8077182695896823,8936.452299550963,-125.98858157855946,0.49969985601571315,0.23835284611363033,0.002373828111192323
66.87403049764221,8935.722810937626,-0.8323608075578487,8934.779901384994,-129.8085810637112,0.499732558581951,0.23834624491234335,0.003201458143237404
79.48421838317877,8934.042483960362,-0.8797790982816189,8932.98928238648,-137.17720647729897,0.4997599670804508,0.23833660530755607,0.001287273874300428
94.47226262528919,8934.836913592193,-0.9503823258789502,8933.607782756591,-148.19803089285944,0.49970098463596746,0.23832073125520592,0.0
112.28654677732122,8932.663740034886,-1.0622722611847517,8931.128540016143,-165.60342461180878,0.49969646694643777,0.2382902911160999,0.0
133.460004416158,8930.816455578051,-1.1967358066417022,8928.868420893212,-186.5242225547789,0.49973532995768183,0.23828578908992099,0.0
158.62606242654863,8929.391979832571,-1.3670089942231942,8926.85060473652,-213.0244357191613,0.49970336802693094,0.238254615138272,0.004163320019170586
188.5375906514275,8927.795176144751,-1.5723337550891783,8924.433691139426,-244.96938512598604,0.499635171448424,0.23820526970077824,0.0021691119528962754
224.08942480750846,8927.028980598736,-1.8309201417787884,8922.471408669773,-285.2198834586042,0.4995877605279694,0.23817993337800708,0.0
266.34513646353224,8923.391779797124,-2.1413491970313867,8917.160472938544,-333.42158840325425,0.49964329774774524,0.23816677036412676,0.0
316.568850934016,8920.468673494459,-2.5050192146206114,8911.944243396023,-389.8860825888272,0.49954615327103563,0.23809491661692211,0.001320396122235937
376.2630649552139,8913.574028240075,-2.9605409776004152,8901.677447976725,-460.3700349703447,0.49949170551156635,0.23799511814432617,0.005083924699829098
447.213595499958,8909.819976218389,-3.4801394663469836,8893.389375560679,-540.8487989121279,0.4992867264127888,0.23787521847185034,0.0069924037457687474
531.5430044237953,8899.287204430739,-4.098600772772605,8876.527532648795,-636.0595169263497,0.49924286690652586,0.23774929939650222,0.009261370853314205
631.7740971984853,8888.204176850564,-4.840280471259224,8856.50693181195,-749.9723035890755,0.4995883392003022,0.23781835149359365,0.0044454828503819556
750.90539536615,8870.112934562227,-5.721296547341523,8825.927217244629,-884.2580097395656,0.4996520217215689,0.2376785740850102,0.003829391401650477
892.5008405541613,8849.420614805935,-6.763376450351823,8787.837401583392,-1042.1895322273751,0.49962351041670855,0.23749106379167853,0.0
1060.796413643391,8820.903207067488,-7.999519620999255,8735.069075822172,-1227.559216114919,0.4996704461121957,0.23727507790456903,0.0
1260.8268587175546,8779.526158851251,-9.439567934960394,8660.643780040773,-1439.9058612265126,0.499686137181511,0.2369214921529516,0.0
1498.576302877642,8724.713205750886,-11.15059555734274,8560.010452958975,-1687.25859542543,0.49970281326635346,0.23646335506179733,0.002731096591882035
1781.1572778760928,8650.414761737971,-13.134584584340562,8424.111086019993,-1965.7130921091316,0.49969050506322094,0.23581957884021756,0.0
2117.0234991964935,8550.113934930832,-15.4429845676842,8241.419824866813,-2276.7185971460476,0.4996961899538402,0.23495052535742178,0.008689667132854033
2516.2227680951305,8415.8616114256,-18.10426963294336,7999.213996142006,-2615.205939614111,0.49977668468767517,0.23379535866831092,0.009002778729445497
2990.6975624424413,8238.648420524178,-21.151856948879125,7683.588669525338,-2972.8425714368673,0.4998543430001066,0.2322093376110226,0.0031129095175701487
3554.6423088645215,8009.650209239392,-24.581753316974172,7283.7246669801625,-3331.9440946680584,0.4998630286699695,0.2300250564714568,0.006848582570026026
4224.928024367187,7718.923372147165,-28.376809726940923,6791.425321197463,-3668.558317878795,0.49992135366708895,0.227096096004229,0.009634458325110262
5021.607031055999,7360.8465276500765,-32.509261843094656,6207.435593101321,-3955.9834379224903,0.4998823510061381,0.22315196059660397,0.009211238999357996
5968.512843039029,6934.173040991435,-36.88497949952109,5546.243079503827,-4161.9638952624655,0.4997058611986981,0.21791923818518963,0.01269868574039503
7093.97317177776,6444.568918343727,-41.40607128509793,4833.690853089019,-4262.382113331182,0.4994899842361646,0.21119521695849064,0.013061770120885947
8431.657380212408,5904.468580452853,-45.92198541063785,4107.367917111886,-4241.730544369231,0.49898280840059916,0.20263131018000913,0.01594801365786607
10021.583738168323,5336.461431403499,-50.30713990807578,3408.2481426002896,-4106.295801244566,0.4980276042062659,0.19214416011701735,0.018353351834948173
11911.316612178309,4760.216331933734,-54.434618729561215,2768.6921446502865,-3872.2091026906655,0.4965042760017106,0.1797087734297061,0.02014515661020149
14157.389404949152,4197.848915551976,-58.19105688755855,2212.6376617418964,-3567.3757996098825,0.4941612404436529,0.16554065664683126,0.021942829233828953
16826.995813245543,3664.996506806073,-61.49600422374159,1749.0098064164329,-3220.7396808745452,0.4908509607954211,0.15004276779694506,0.02368256635099121
20000.000000000004,3174.8422677490485,-64.29527040602075,1377.035335407486,-2860.663753418971,0.4860887103133776,0.13376211771849777,0.025247254585462595
