 2.53257309e+01 -1.13987378e+02  2.53257309e+01 -1.14057467e+02  2.53257309e+01 -1.62672732e+00  2.53257309e+01 -1.62694058e+00 
 2.54719837e+01 -1.13886695e+02  2.54719837e+01 -1.13956784e+02  2.54719837e+01 -1.62678193e+00  2.54719837e+01 -1.62699766e+00 
 2.56190811e+01 -1.13786005e+02  2.56190811e+01 -1.13856093e+02  2.56190811e+01 -1.62683717e+00  2.56190811e+01 -1.62705540e+00 
 2.57670280e+01 -1.13685307e+02  2.57670280e+01 -1.13755396e+02  2.57670280e+01 -1.62689306e+00  2.57670280e+01 -1.62711381e+00 
 2.59158292e+01 -1.13584601e+02  2.59158292e+01 -1.13654690e+02  2.59158292e+01 -1.62694959e+00  2.59158292e+01 -1.62717289e+00 
 2.60654898e+01 -1.13483888e+02  2.60654898e+01 -1.13553977e+02  2.60654898e+01 -1.62700678e+00  2.60654898e+01 -1.62723267e+00 
 2.62160146e+01 -1.13383167e+02  2.62160146e+01 -1.13453256e+02  2.62160146e+01 -1.62706463e+00  2.62160146e+01 -1.62729313e+00 
 2.63674086e+01 -1.13282438e+02  2.63674086e+01 -1.13352527e+02  2.63674086e+01 -1.62712315e+00  2.63674086e+01 -1.62735430e+00 
 2.65196770e+01 -1.13181701e+02  2.65196770e+01 -1.13251790e+02  2.65196770e+01 -1.62718235e+00  2.65196770e+01 -1.62741617e+00 
 2.66728247e+01 -1.13080956e+02  2.66728247e+01 -1.13151046e+02  2.66728247e+01 -1.62724224e+00  2.66728247e+01 -1.62747876e+00 
 2.68268568e+01 -1.12980203e+02  2.68268568e+01 -1.13050293e+02  2.68268568e+01 -1.62730282e+00  2.68268568e+01 -1.62754208e+00 
 2.69817784e+01 -1.12879442e+02  2.69817784e+01 -1.12949531e+02  2.69817784e+01 -1.62736411e+00  2.69817784e+01 -1.62760613e+00 
 2.71375947e+01 -1.12778672e+02  2.71375947e+01 -1.12848762e+02  2.71375947e+01 -1.62742610e+00  2.71375947e+01 -1.62767093e+00 
 2.72943108e+01 -1.12677894e+02  2.72943108e+01 -1.12747984e+02  2.72943108e+01 -1.62748882e+00  2.72943108e+01 -1.62773647e+00 
 2.74519319e+01 -1.12577107e+02  2.74519319e+01 -1.12647197e+02  2.74519319e+01 -1.62755226e+00  2.74519319e+01 -1.62780278e+00 
 2.76104632e+01 -1.12476312e+02  2.76104632e+01 -1.12546402e+02  2.76104632e+01 -1.62761644e+00  2.76104632e+01 -1.62786985e+00 
 2.77699100e+01 -1.12375508e+02  2.77699100e+01 -1.12445598e+02  2.77699100e+01 -1.62768136e+00  2.77699100e+01 -1.62793770e+00 
 2.79302777e+01 -1.12274695e+02  2.79302777e+01 -1.12344785e+02  2.79302777e+01 -1.62774703e+00  2.79302777e+01 -1.62800634e+00 
